Distance,Temperature,Pressure,Speed,Density (kg/m^3),Mass Fraction (H2),Mass Fraction (O),Mass Fraction (O2),Mass Fraction (OH),Mass Fraction (H2O),Mass Fraction (AR),Mole Fraction (H2),Mole Fraction (O),Mole Fraction (O2),Mole Fraction (OH),Mole Fraction (H2O),Mole Fraction (AR)
1e-14,1499.9999999530498,303000.0,0.0059999999998122,313.6800013447189,0.10073703934935936,7.073598252860587e-17,0.7994503435186784,7.449384864077809e-17,8.805875040985238e-21,0.09981261711430355,0.10073703934935936,7.073598252860587e-17,0.7994503435186784,7.449384864077809e-17,8.805875040985238e-21,0.09981261711430355
2e-14,1499.9999999060997,302999.99999999994,0.0059999999996244386,313.68000135453707,0.10073703934831274,2.1154787817500396e-16,0.7994503435020663,2.2347599258078046e-16,3.52228517541541e-20,0.09981261711430355,0.10073703934831274,2.1154787817500396e-16,0.7994503435020663,2.2347599258078046e-16,3.52228517541541e-20,0.09981261711430355
4e-14,1499.9999998121991,303000.00000000006,0.005999999999248808,313.68000137417357,0.10073703934621954,6.576233415712805e-16,0.7994503434688419,6.962425249265411e-16,1.567005962582989e-19,0.09981261711430357,0.10073703934621954,6.576233415712805e-16,0.7994503434688419,6.962425249265411e-16,1.567005962582989e-19,0.09981261711430357
8e-14,1499.9999996243973,303000.0,0.00599999999849759,313.6800014134467,0.10073703934203303,2.4181084655429505e-15,0.7994503434023905,2.5647366695413422e-15,9.29137433422667e-19,0.09981261711430355,0.10073703934203303,2.4181084655429505e-15,0.7994503434023905,2.5647366695413422e-15,9.29137433422667e-19,0.09981261711430355
1.2e-13,1499.9999994365946,302999.99999999994,0.005999999997746382,313.68000145272003,0.10073703933784656,5.249460332447292e-15,0.7994503433359369,5.571374975426162e-15,2.938174216662507e-18,0.09981261711430355,0.10073703933784656,5.249460332447292e-15,0.7994503433359369,5.571374975426162e-15,2.938174216662507e-18,0.09981261711430355
2e-13,1499.9999990609865,303000.00000000006,0.005999999996243944,313.68000153126746,0.10073703932947362,1.425491072569646e-14,0.799450343203022,1.5137004049009043e-14,1.3408468811367857e-17,0.09981261711430357,0.10073703932947362,1.425491072569646e-14,0.799450343203022,1.5137004049009043e-14,1.3408468811367857e-17,0.09981261711430357
3.6e-13,1499.999998309759,303000.0,0.005999999993239016,313.680001688365,0.10073703931272764,4.566471778740025e-14,0.7994503429371608,4.850447456710758e-14,7.868038488939332e-17,0.09981261711430355,0.10073703931272764,4.566471778740025e-14,0.7994503429371608,4.850447456710758e-14,7.868038488939332e-17,0.09981261711430355
6.799999999999999e-13,1499.9999968072589,302999.9999999999,0.0059999999872289425,313.6800020025717,0.1007370392792355,1.621376201400883e-13,0.7994503424053143,1.7222227643042845e-13,5.36802903436813e-16,0.09981261711430353,0.1007370392792355,1.621376201400883e-13,0.7994503424053143,1.7222227643042845e-13,5.36802903436813e-16,0.09981261711430353
1.32e-12,1499.99999380208,302999.99999999994,0.005999999975207914,313.68000263103113,0.10073703921225036,6.092218924182437e-13,0.7994503413411244,6.469001418334642e-13,3.959337351483922e-15,0.09981261711430355,0.10073703921225036,6.092218924182437e-13,0.7994503413411244,6.469001418334642e-13,3.959337351483922e-15,0.09981261711430355
1.96e-12,1499.9999907966653,303000.00000000006,0.005999999963185727,313.6800032595512,0.10073703914526372,1.3411559178456339e-12,0.7994503402762722,1.4236180994639812e-12,1.2280352156532128e-14,0.09981261711430357,0.10073703914526372,1.3411559178456339e-12,0.7994503402762722,1.4236180994639812e-12,1.2280352156532128e-14,0.09981261711430357
2.6000000000000002e-12,1499.9999877910175,302999.99999999994,0.005999999951162388,313.68000388813124,0.1007370390782752,2.3569861413867333e-12,0.7994503392107574,2.5010305104942625e-12,2.7668238426902592e-14,0.09981261711430355,0.1007370390782752,2.3569861413867333e-12,0.7994503392107574,2.5010305104942625e-12,2.7668238426902592e-14,0.09981261711430355
3.2400000000000003e-12,1499.9999847851395,303000.00000000006,0.005999999939137915,313.68000451677085,0.10073703901128452,3.655719687133676e-12,0.7994503381445808,3.877741990810238e-12,5.235534010796271e-14,0.09981261711430355,0.10073703901128452,3.655719687133676e-12,0.7994503381445808,3.877741990810238e-12,5.235534010796271e-14,0.09981261711430355
